pattern,sigma,psnr_noisy,ssim_noisy,psnr_denoised,ssim_denoised,delta_psnr,delta_ssim,noisy_path,denoised_path,processing_time_s
coffee,20,22.37128336977935,0.45375905493606905,26.11253362017315,0.6430114804265797,3.7412502503938008,0.1892524254905107,denoising_results\coffee_sigma20_noisy_psnr22.37.png,denoising_results\coffee_sigma20_denoised_psnr26.11.png,808.9979696273804
coffee,30,19.02458631733126,0.3206824219831035,23.344248179039578,0.5367393819276984,4.319661861708319,0.21605695994459495,denoising_results\coffee_sigma30_noisy_psnr19.02.png,denoising_results\coffee_sigma30_denoised_psnr23.34.png,827.5059058666229
coffee,40,16.663881219746795,0.23935504797213863,18.44245446904249,0.32149513146491066,1.7785732492956967,0.08214008349277202,denoising_results\coffee_sigma40_noisy_psnr16.66.png,denoising_results\coffee_sigma40_denoised_psnr18.44.png,807.2588193416595
coffee,50,14.971017406944743,0.18936284549518878,15.719361167992483,0.2307779027948991,0.7483437610477406,0.04141505729971032,denoising_results\coffee_sigma50_noisy_psnr14.97.png,denoising_results\coffee_sigma50_denoised_psnr15.72.png,784.7619507312775
camera,20,22.214687665132146,0.6405464560787305,24.02547744344348,0.6810732900338768,1.8107897783113351,0.040526833955146335,denoising_results\camera_sigma20_noisy_psnr22.21.png,denoising_results\camera_sigma20_denoised_psnr24.03.png,849.7185552120209
camera,30,18.78399786964469,0.48242985877483247,20.190512820488106,0.537992761843034,1.406514950843416,0.05556290306820155,denoising_results\camera_sigma30_noisy_psnr18.78.png,denoising_results\camera_sigma30_denoised_psnr20.19.png,774.6704349517822
camera,40,16.467213185847758,0.3695110288834973,16.98509322413803,0.39047728487527955,0.5178800382902722,0.020966255991782257,denoising_results\camera_sigma40_noisy_psnr16.47.png,denoising_results\camera_sigma40_denoised_psnr16.99.png,727.1136133670807
camera,50,14.704949751818233,0.29046194793195834,14.911234880652966,0.29946350733397975,0.2062851288347325,0.009001559402021408,denoising_results\camera_sigma50_noisy_psnr14.70.png,denoising_results\camera_sigma50_denoised_psnr14.91.png,761.1385600566864
chelsea,20,22.10784511123634,0.4290248590301658,23.63451596682699,0.5083778134294152,1.5266708555906483,0.07935295439924944,denoising_results\chelsea_sigma20_noisy_psnr22.11.png,denoising_results\chelsea_sigma20_denoised_psnr23.63.png,809.4111545085907
chelsea,30,18.59000815187702,0.2760889794944247,18.803704674004845,0.2814824295889861,0.21369652212782597,0.005393450094561436,denoising_results\chelsea_sigma30_noisy_psnr18.59.png,denoising_results\chelsea_sigma30_denoised_psnr18.80.png,858.5772957801819
chelsea,40,16.195967215102854,0.19329257167063882,16.24430831095427,0.19404654093443016,0.04834109585141633,0.0007539692637913431,denoising_results\chelsea_sigma40_noisy_psnr16.20.png,denoising_results\chelsea_sigma40_denoised_psnr16.24.png,889.3366494178772
chelsea,50,14.431039464205115,0.14122804204642522,14.447218577087606,0.14141113779623668,0.016179112882490188,0.00018309574981145715,denoising_results\chelsea_sigma50_noisy_psnr14.43.png,denoising_results\chelsea_sigma50_denoised_psnr14.45.png,883.9882237911224
astronaut,20,22.621679996682982,0.5374373112671673,23.463455239511095,0.6111748475950658,0.8417752428281133,0.07373753632789848,denoising_results\astronaut_sigma20_noisy_psnr22.62.png,denoising_results\astronaut_sigma20_denoised_psnr23.46.png,903.2379739284515
astronaut,30,19.245278695726526,0.4213134457519627,22.609799882715787,0.5804516409347377,3.3645211869892613,0.15913819518277494,denoising_results\astronaut_sigma30_noisy_psnr19.25.png,denoising_results\astronaut_sigma30_denoised_psnr22.61.png,848.7288265228271
astronaut,40,16.955818052376237,0.34590753972452287,19.867689132996432,0.45468766248418896,2.9118710806201946,0.10878012275966609,denoising_results\astronaut_sigma40_noisy_psnr16.96.png,denoising_results\astronaut_sigma40_denoised_psnr19.87.png,830.3421688079834
astronaut,50,15.236417462331527,0.2873828084311933,16.873012391412068,0.33262708449176304,1.636594929080541,0.045244276060569744,denoising_results\astronaut_sigma50_noisy_psnr15.24.png,denoising_results\astronaut_sigma50_denoised_psnr16.87.png,727.870055437088
